unique_id,sample_year,sample_date,stream_name,site_id,taxon_code,length_mm,weight_g,sex,d13C,d13C_fin,d15N,d15N_fin,CN,CN_fin
2016-LR07-CKC-04,2016,8/30/16,Laramie,LR07,CKC,144,34.17,unk,-24.86664,-23.9454744,11.35405,10.9216159,3.537103445,3.537103445
2016-LR07-WHS-27,2017,8/30/16,Laramie,LR07,WHS,81,5.16,unk,-27.31338,-25.925768,8.631668,7.8205589,3.83398294,3.83398294
2016-MB02-LND-19,2016,8/24/16,MedBow,MB02,LND,85,5.8,female,-26.0120789,-24.656446,8.740797,8.2614266,3.271481673,4.073772576
2016-MB02-LND-16,2016,8/24/16,MedBow,MB02,LND,82,4,female,-26.19211,-24.515186,9.293536,7.98351,3.807034068,3.807034068
2016-MB02-LND-20,2016,8/24/16,MedBow,MB02,LND,76,4.69,female,-26.3541687,-25.824868,8.892807,7.9785115,3.411430747,4.428805706
2016-MB02-LND-17,2016,8/24/16,MedBow,MB02,LND,106,11.35,female,-25.7411288,-25.108478,8.290254,8.1072628,3.555826746,3.802178682
2016-MB02-LND-13,2016,8/24/16,MedBow,MB02,LND,110,12.76,female,-25.9665344,-25.4697,8.702288,8.693297,3.265927954,3.753143651
2016-LR07-CKC-05,2016,8/30/16,Laramie,LR07,CKC,110,15.02,unk,-25.55837,-24.448592,11.24518,10.7106916,4.007906971,4.007906971
2016-LR07-WHS-20,2016,8/30/16,Laramie,LR07,WHS,82,5.73,unk,-27.5599,-26.04483,8.608669,8.333405,4.026763699,4.026763699
2016-LR07-WHS-16,2016,8/30/16,Laramie,LR07,WHS,92,10.03,unk,-27.454466,-26.261765,8.481532,8.1604569,3.738123736,3.738123736
2016-LR07-CKC-02,2017,8/30/16,Laramie,LR07,CKC,73,5.7,unk,-25.1066675,-24.03692,9.493446,8.4505926,3.369333469,3.611284759
2016-LR07-CKC-03,2016,8/30/16,Laramie,LR07,CKC,122,22.36,unk,-26.01403,-25.049956,11.078584,11.5644354,3.821580083,3.821580083
2016-LR07-WHS-24,2017,8/30/16,Laramie,LR07,WHS,109,14.85,unk,-27.334803,-26.372755,8.827722,8.4953564,3.790682732,3.790682732
2016-LR07-WHS-25,2017,8/30/16,Laramie,LR07,WHS,117,19.89,unk,-27.3759961,-25.04592,8.434553,7.9605169,3.746391921,3.746391921
2016-MB02-LND-15,2016,8/24/16,MedBow,MB02,LNS,74,3.94,female,-25.2766667,-21.822165,7.784014,6.3972861,3.519531183,3.321994203
2016-LR06-HHC-08,2016,8/30/16,Laramie,LR06,HHC,132,29.88,unk,-26.1760686,-26.0573698,11.924655,11.6336871,3.236245887,4.281713685
2016-LR07-CKC-06,2016,8/30/16,Laramie,LR07,CKC,98,15,unk,-24.124483,-23.0761227,11.50529,11.2146452,3.55851925,3.55851925
2016-LR07-WHS-23,2016,8/30/16,Laramie,LR07,WHS,60,2.83,unk,-27.45029,-24.996479,8.367515,8.2774218,4.069143706,4.069143706
2016-LR07-WHS-18,2017,8/30/16,Laramie,LR07,WHS,80,5.95,unk,-27.61098,-25.996398,8.408097,7.9245277,4.001355321,4.001355321
2016-LR07-WHS-15,2017,8/30/16,Laramie,LR07,WHS,79,5.09,unk,-27.66583,-26.827814,8.274074,8.4223783,4.327754237,4.327754237
2016-LR00-LNS-08,2016,8/27/16,Laramie,LR00,LNS,166,51.99,unk,-24.1603248,-23.8206064,7.630313,7.3062544,3.437035791,3.588735694
2016-LR06-LNS-34,2016,8/30/16,Laramie,LR06,LNS,125,22.98,unk,-27.5736,-26.9491731,11.32272,10.9346172,3.928129451,3.928129451
2016-LR00-LNS-06,2016,8/27/16,Laramie,LR00,LNS,141,15,unk,-25.0156499,-24.155095,7.04232,6.3183556,3.392499849,3.774862994
2016-LR07-WHS-19,2016,8/30/16,Laramie,LR07,WHS,66,2.7,unk,-27.478604,-25.599861,8.964637,8.9322253,3.960125641,3.960125641
2016-LR06-WHS-11,2016,8/30/16,Laramie,LR06,WHS,45,0.84,unk,-27.2975703,-25.9537677,10.23726,10.972621,3.388237256,3.393935702
2016-LR06-CKC-19,2016,8/30/16,Laramie,LR06,CKC,98,10.47,unk,-28.0037,-27.2082121,11.679371,11.6636901,3.655537259,3.655537259
2016-LR06-FHM-43,2017,8/30/16,Laramie,LR06,FHM,63,2.67,unk,-27.9800324,-26.0916996,11.562909,10.5947332,4.054350649,3.98516752
2016-LR06-LNS-40,2016,8/30/16,Laramie,LR06,LNS,127,25.01,unk,-27.362883,-26.5257912,10.9473,10.5535791,4.013591717,4.013591717
2016-LR06-CKC-14,2016,8/30/16,Laramie,LR06,CKC,121,18.36,unk,-27.4687842,-27.02304,11.64426,12.2077445,3.251405896,3.784652145
2016-LR06-FHM-42,2016,8/30/16,Laramie,LR06,FHM,60,2.62,unk,-27.6237848,-25.9261088,11.382144,10.12697607,3.357130736,3.748245525
2016-LR06-FHM-44,2016,8/30/16,Laramie,LR06,FHM,57,1.95,unk,-27.1434056,-25.6635868,11.596865,10.3687406,3.368447974,3.996007407
2016-LR06-CKC-15,2016,8/30/16,Laramie,LR06,CKC,125,23.14,unk,-26.8578849,-26.4929475,12.23319,12.142738,3.271379605,4.008572784
2016-LR06-CKC-16,2016,8/30/16,Laramie,LR06,CKC,107,14.86,unk,-27.3077013,-26.3929872,11.432205,12.102734,3.235195743,3.778523284
2016-LR06-CKC-18,2016,8/30/16,Laramie,LR06,CKC,94,9.81,unk,-27.48135,-26.8958178,11.74421,12.2587496,4.239834607,4.239834607
