common_name,intercept,int_SE,slope,slp_SE
Longnose Sucker,-2.44,1.34,0.95,0.05
Shorthead Redhorse,0.28,4.32,1.07,0.17
White Sucker,-11.12,2,0.62,0.08
Smallmouth Bass,-0.65,4.23,0.99,0.17
Bigmouth Shiner,-12.01,3.53,0.58,0.13
Brassy Minnow,-5.36,2.61,0.85,0.09
Common Shiner,-0.94,2.67,1.01,0.11
Creek Chub,-5.23,1.81,0.84,0.07
Fathead Minnow,-0.54,2.43,1.03,0.09
Hornyhead Chub,-3.17,2.25,0.88,0.09
Longnose Dace,-11.09,2.22,0.61,0.09
Red Shiner,-7.69,3.47,0.74,0.13
Sand Shiner,-8.21,4.04,0.73,0.15
Johnny Darter,-7.61,3.5,0.75,0.13
Freshwater Drum,-8.24,4.33,0.74,0.17
