common_name,intercept,int_SE,slope,slp_SE
Longnose Sucker,1.73,0.44,0.85,0.05
Shorthead Redhorse,0.17,0.71,1.08,0.07
White Sucker,2.3,0.38,0.78,0.04
Smallmouth Bass,1.14,0.71,0.93,0.08
Bigmouth Shiner,1.3,0.8,0.94,0.07
Brassy Minnow,1.93,0.65,0.87,0.07
Common Shiner,1.13,0.84,0.92,0.09
Creek Chub,2.46,0.42,0.8,0.04
Fathead Minnow,0.79,0.63,1,0.07
Hornyhead Chub,1.55,0.75,0.9,0.07
Longnose Dace,1.86,0.34,0.88,0.04
Red Shiner,1.66,0.83,0.89,0.08
Sand Shiner,2.83,0.76,0.8,0.07
Johnny Darter,0.95,0.82,0.99,0.08
Freshwater Drum,0.95,0.61,0.98,0.05
